code_module,gender_bin,disability_bin,age_numeric,edu_numeric,imd_numeric,num_of_prev_attempts,studied_credits,days_to_start,registered_early,at_risk,avg_score,num_submitted,num_failed,submission_rate,avg_tma_score,avg_cma_score,avg_days_late,total_clicks,active_days,avg_clicks_per_day,quiz_clicks,forumng_clicks,resource_clicks,clicked_before_start,module_total_assessments
BBB,0,0,1,3,20.0,0,60,70.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
FFF,1,0,2,3,90.0,1,60,196.0,1,1,49.25,4.0,1.0,0.3076923076923077,39.0,80.0,-19.0,3271.0,80.0,40.89,146.0,1876.0,42.0,1.0,13
BBB,0,0,1,2,90.0,0,60,15.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,18.0,0.0,0.0,4.0,1.0,12
BBB,0,0,0,1,30.0,1,60,61.0,1,1,66.75,4.0,0.0,0.3333333333333333,63.5,70.0,5.0,45.0,5.0,9.0,25.0,7.0,2.0,0.0,12
BBB,0,0,1,3,50.0,0,120,67.0,1,1,88.72727272727273,11.0,0.0,0.9166666666666666,82.66666666666667,96.0,1.2727272727272727,1561.0,109.0,14.32,252.0,279.0,227.0,1.0,12
BBB,1,0,1,2,60.0,0,60,24.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
BBB,0,0,1,1,50.0,0,180,67.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
CCC,0,0,0,1,20.0,0,60,61.0,1,0,89.0,9.0,0.0,0.9,88.5,93.75,1.375,1011.0,45.0,22.47,727.0,39.0,21.0,1.0,10
EEE,1,1,1,1,0.0,0,60,51.0,1,1,42.0,4.0,2.0,0.8,42.0,0.0,8.5,2642.0,95.0,27.81,381.0,623.0,24.0,1.0,5
FFF,1,0,0,2,70.0,0,60,27.0,0,0,90.75,12.0,0.0,0.9230769230769231,92.6,89.42857142857143,-63.5,4887.0,150.0,32.58,832.0,488.0,40.0,1.0,13
GGG,0,0,1,2,60.0,0,30,103.0,1,0,86.88888888888889,9.0,0.0,0.9,74.0,93.33333333333333,-41.333333333333336,817.0,30.0,27.23,184.0,132.0,25.0,0.0,10
BBB,0,1,0,2,70.0,0,60,132.0,1,0,78.72727272727273,11.0,0.0,0.9166666666666666,74.33333333333333,84.0,0.6363636363636364,140.0,16.0,8.75,74.0,28.0,3.0,0.0,12
EEE,1,0,0,2,50.0,0,30,130.0,1,1,82.5,2.0,0.0,0.4,82.5,0.0,10.0,228.0,11.0,20.73,1.0,1.0,0.0,0.0,5
FFF,1,0,0,3,30.0,0,120,15.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,13
GGG,0,0,1,3,0.0,0,30,10.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,10.0,14.7,0.0,40.0,10.0,1.0,10
EEE,1,0,1,3,80.0,0,60,18.0,0,0,92.75,4.0,0.0,0.8,92.75,0.0,-0.75,2334.0,112.0,20.84,176.0,390.0,65.0,1.0,5
DDD,1,0,0,1,80.0,0,240,37.0,1,1,62.285714285714285,7.0,0.0,1.0,61.6,64.0,0.42857142857142855,876.0,61.0,14.36,314.0,101.0,20.0,1.0,7
CCC,1,0,1,2,10.0,0,30,38.0,1,0,74.22222222222223,9.0,0.0,0.9,79.5,72.5,1.125,3464.0,172.0,20.14,557.0,1573.0,84.0,1.0,10
FFF,1,0,0,2,50.0,2,90,4.0,0,0,78.66666666666667,12.0,0.0,0.9230769230769231,74.6,81.57142857142857,-0.4166666666666667,1296.0,52.0,24.92,527.0,91.0,131.0,1.0,13
FFF,1,0,0,2,30.0,0,120,123.0,1,0,72.58333333333333,12.0,1.0,0.9230769230769231,60.0,81.57142857142857,-34.916666666666664,1752.0,62.0,28.26,713.0,87.0,37.0,1.0,13
DDD,1,0,1,3,60.0,1,60,115.0,1,1,54.63636363636363,11.0,2.0,1.0,54.63636363636363,0.0,-51.63636363636363,373.0,35.0,10.66,0.0,21.0,12.0,0.0,7
EEE,0,1,0,2,10.0,0,30,75.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,11.0,24.0,62.0,65.0,1.0,1.0,5
AAA,1,0,1,1,30.0,0,60,155.0,1,0,62.2,5.0,0.0,0.8333333333333334,62.2,0.0,-1.6,2094.0,78.0,26.85,0.0,58.0,46.0,1.0,6
BBB,0,0,0,1,80.0,0,60,49.0,1,0,59.0,5.0,1.0,0.8333333333333334,59.0,0.0,-0.2,75.0,9.0,8.33,32.0,0.0,6.0,0.0,6
DDD,0,0,1,1,80.0,0,60,24.0,0,1,57.0,3.0,0.0,0.42857142857142855,57.0,0.0,3.0,796.0,56.0,14.21,0.0,192.0,34.0,1.0,7
GGG,1,0,0,2,40.0,0,30,24.0,0,0,77.11111111111111,9.0,0.0,0.9,78.0,76.66666666666667,-18.0,163.0,7.0,23.29,103.0,0.0,1.0,0.0,10
DDD,1,0,0,1,10.0,0,120,94.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,8.0,18.12,0.0,99.0,4.0,1.0,7
FFF,1,0,0,2,70.0,0,120,95.0,1,0,70.58333333333333,12.0,0.0,0.9230769230769231,66.8,73.28571428571429,0.16666666666666666,887.0,32.0,27.72,597.0,28.0,16.0,0.0,13
BBB,0,0,1,1,50.0,0,120,42.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,7.0,11.86,0.0,33.0,11.0,1.0,12
GGG,0,0,0,0,70.0,0,30,11.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
BBB,0,0,0,1,50.0,0,120,49.0,1,0,56.4,5.0,1.0,0.8333333333333334,56.4,0.0,-4.4,1045.0,72.0,14.51,163.0,334.0,26.0,1.0,6
BBB,0,0,1,2,0.0,0,60,53.0,1,1,83.1,10.0,0.0,0.8333333333333334,78.2,88.0,2.6,2406.0,100.0,24.06,123.0,1428.0,105.0,1.0,12
BBB,1,0,1,2,40.0,0,60,30.0,0,1,86.5,6.0,0.0,0.5,79.66666666666667,93.33333333333333,1.5,289.0,30.0,9.63,47.0,147.0,1.0,0.0,12
FFF,1,0,0,1,10.0,0,60,81.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,9.0,12.22,0.0,6.0,8.0,1.0,13
EEE,1,0,0,2,40.0,0,30,58.0,1,1,68.75,4.0,0.0,0.8,68.75,0.0,0.75,1155.0,62.0,18.63,93.0,90.0,1.0,1.0,5
FFF,1,0,0,2,0.0,0,60,79.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
AAA,1,0,1,1,90.0,0,60,149.0,1,0,84.0,5.0,0.0,0.8333333333333334,84.0,0.0,-4.2,2291.0,127.0,18.04,0.0,122.0,26.0,1.0,6
DDD,1,0,0,1,20.0,1,70,103.0,1,1,57.714285714285715,7.0,1.0,1.0,60.666666666666664,0.0,-1.8571428571428572,1634.0,115.0,14.21,0.0,21.0,33.0,1.0,7
DDD,1,0,0,1,0.0,0,120,131.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,6.0,10.17,0.0,16.0,0.0,1.0,7
CCC,1,0,1,2,70.0,0,60,67.0,1,0,79.34782608695652,23.0,1.0,1.0,83.1,76.36363636363636,-0.7272727272727273,4048.0,237.0,17.08,459.0,987.0,148.0,1.0,10
BBB,0,0,0,2,70.0,0,60,67.0,1,1,80.3,10.0,0.0,0.8333333333333334,76.6,84.0,2.7,1051.0,101.0,10.41,96.0,243.0,45.0,1.0,12
BBB,0,0,1,1,10.0,0,60,78.0,1,1,90.2,10.0,0.0,1.0,80.4,100.0,-40.9,2376.0,110.0,21.6,162.0,1021.0,139.0,1.0,6
DDD,0,0,0,2,40.0,0,90,29.0,0,1,54.0,1.0,0.0,0.14285714285714285,54.0,0.0,1.0,542.0,32.0,16.94,0.0,308.0,4.0,1.0,7
EEE,0,0,0,2,90.0,0,60,38.0,1,1,44.0,1.0,0.0,0.2,44.0,0.0,3.0,418.0,17.0,24.59,124.0,43.0,5.0,1.0,5
EEE,1,0,0,2,90.0,0,40,49.0,1,0,92.0,4.0,0.0,0.8,92.0,0.0,-9.0,3008.0,152.0,19.79,178.0,421.0,16.0,1.0,5
EEE,1,0,0,1,10.0,0,60,36.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,2.0,52.0,45.0,0.0,0.0,0.0,5
DDD,0,1,0,1,30.0,1,180,87.0,1,1,25.666666666666668,6.0,5.0,0.8571428571428571,36.666666666666664,14.666666666666666,2.5,1053.0,64.0,16.45,0.0,178.0,55.0,1.0,7
FFF,1,1,0,1,0.0,0,120,67.0,1,1,66.66666666666667,3.0,0.0,0.23076923076923078,70.0,65.0,-127.0,833.0,42.0,19.83,208.0,134.0,12.0,1.0,13
FFF,1,0,0,3,10.0,0,60,150.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
FFF,1,0,1,1,20.0,1,60,34.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,6.5,0.0,5.0,0.0,0.0,13
FFF,1,1,1,1,10.0,0,180,59.0,1,1,74.0,1.0,0.0,0.07692307692307693,74.0,0.0,4.0,179.0,12.0,14.92,1.0,15.0,6.0,0.0,13
DDD,0,0,0,2,50.0,0,100,27.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,7.0,0.0,0.0,0.0,1.0,7
DDD,0,0,0,1,60.0,0,90,162.0,1,1,40.0,1.0,0.0,0.14285714285714285,40.0,0.0,-9.0,234.0,24.0,9.75,0.0,55.0,20.0,1.0,7
EEE,0,0,0,2,10.0,0,60,21.0,0,0,71.25,4.0,0.0,0.8,71.25,0.0,-3.75,1903.0,91.0,20.91,240.0,261.0,100.0,1.0,5
BBB,0,0,0,2,30.0,0,60,113.0,1,1,85.66666666666667,3.0,0.0,0.25,78.5,100.0,-0.6666666666666666,295.0,27.0,10.93,22.0,131.0,20.0,1.0,12
BBB,0,0,0,3,90.0,0,60,23.0,0,0,81.0,11.0,0.0,0.9166666666666666,68.5,96.0,-1.0,1604.0,91.0,17.63,70.0,1131.0,37.0,1.0,12
EEE,1,1,1,1,30.0,0,60,109.0,1,0,75.0,4.0,0.0,0.8,75.0,0.0,-2.25,1438.0,69.0,20.84,87.0,56.0,12.0,1.0,5
DDD,0,0,0,3,70.0,0,60,36.0,1,1,52.833333333333336,6.0,1.0,0.8571428571428571,52.833333333333336,0.0,-1.3333333333333333,564.0,53.0,10.64,0.0,65.0,51.0,1.0,7
DDD,1,0,1,1,10.0,0,90,136.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
FFF,1,0,0,2,80.0,0,90,46.0,1,1,67.0,3.0,0.0,0.23076923076923078,60.0,81.0,-77.33333333333333,363.0,17.0,21.35,79.0,64.0,7.0,1.0,13
EEE,1,0,1,2,50.0,0,90,28.0,0,0,93.5,4.0,0.0,0.8,93.5,0.0,-2.0,3114.0,110.0,28.31,174.0,120.0,37.0,1.0,5
BBB,0,0,0,3,40.0,0,60,52.0,1,1,70.8,5.0,0.0,0.4166666666666667,57.0,80.0,2.0,505.0,28.0,18.04,52.0,126.0,68.0,1.0,12
DDD,0,0,0,2,50.0,0,120,23.0,0,1,65.66666666666667,9.0,0.0,0.6428571428571429,60.5,69.8,2.2222222222222223,817.0,48.0,17.02,0.0,206.0,53.0,1.0,14
BBB,0,0,1,1,0.0,0,60,54.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
GGG,0,0,1,1,0.0,0,30,11.0,0,0,85.44444444444444,9.0,0.0,0.9,89.66666666666667,83.33333333333333,-40.888888888888886,584.0,47.0,12.43,108.0,139.0,9.0,1.0,10
DDD,0,0,1,1,50.0,0,60,57.0,1,0,54.142857142857146,7.0,1.0,1.0,52.0,0.0,-1.7142857142857142,2575.0,126.0,20.44,0.0,870.0,98.0,1.0,7
DDD,0,0,0,3,40.0,0,60,74.0,1,1,61.666666666666664,3.0,0.0,0.42857142857142855,61.666666666666664,0.0,-1.3333333333333333,280.0,30.0,9.33,0.0,78.0,15.0,1.0,7
CCC,1,0,0,1,40.0,0,60,46.0,1,0,91.33333333333333,9.0,0.0,0.9,87.0,96.0,0.875,2000.0,96.0,20.83,1186.0,186.0,53.0,0.0,10
CCC,1,0,1,3,30.0,0,60,128.0,1,1,49.125,8.0,2.0,0.8,68.5,42.666666666666664,-46.125,1927.0,113.0,17.05,872.0,50.0,34.0,1.0,10
CCC,1,0,1,4,20.0,0,30,22.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,6.5,0.0,0.0,3.0,1.0,10
CCC,1,0,1,2,90.0,0,60,38.0,1,1,74.53846153846153,13.0,1.0,1.0,83.75,65.75,1.3333333333333333,4433.0,111.0,39.94,734.0,1034.0,80.0,1.0,10
FFF,1,0,0,1,20.0,0,60,195.0,1,1,69.33333333333333,3.0,0.0,0.23076923076923078,66.0,76.0,-70.66666666666667,827.0,27.0,30.63,149.0,279.0,21.0,1.0,13
DDD,0,0,1,4,90.0,0,60,53.0,1,0,89.85714285714286,7.0,0.0,1.0,88.83333333333333,0.0,-8.428571428571429,1674.0,106.0,15.79,0.0,388.0,82.0,1.0,7
GGG,0,0,1,2,30.0,0,30,25.0,0,0,79.11111111111111,9.0,0.0,0.9,64.0,86.66666666666667,-6.222222222222222,717.0,24.0,29.88,158.0,98.0,31.0,0.0,10
FFF,1,0,0,1,0.0,2,60,36.0,1,1,61.0,2.0,0.0,0.15384615384615385,61.0,0.0,9.0,453.0,14.0,32.36,3.0,99.0,7.0,0.0,13
CCC,1,0,0,2,70.0,0,30,30.0,0,0,76.45454545454545,11.0,1.0,1.0,83.5,72.0,1.5,4739.0,162.0,29.25,1802.0,147.0,267.0,1.0,10
EEE,1,0,0,3,40.0,0,60,29.0,0,0,81.25,4.0,0.0,0.8,81.25,0.0,8.5,2654.0,138.0,19.23,92.0,179.0,35.0,1.0,5
GGG,0,0,0,1,10.0,0,30,10.0,0,1,65.125,8.0,0.0,0.8,56.5,68.0,-45.5,565.0,24.0,23.54,118.0,40.0,5.0,0.0,10
FFF,1,0,0,1,70.0,0,90,59.0,1,1,56.857142857142854,7.0,1.0,0.5384615384615384,66.33333333333333,0.0,-22.571428571428573,1444.0,78.0,18.51,141.0,273.0,27.0,1.0,13
DDD,0,0,0,1,0.0,0,120,20.0,0,0,58.416666666666664,12.0,1.0,1.0,57.09090909090909,0.0,1.75,1365.0,96.0,14.22,1.0,609.0,82.0,1.0,7
FFF,1,0,0,3,30.0,0,60,42.0,1,0,80.875,16.0,0.0,1.0,80.16666666666667,81.3,-52.9375,3383.0,120.0,28.19,836.0,381.0,63.0,1.0,13
FFF,1,0,0,2,40.0,0,90,27.0,0,1,66.18181818181819,11.0,0.0,0.8461538461538461,73.0,62.285714285714285,-13.272727272727273,2061.0,82.0,25.13,635.0,62.0,21.0,1.0,13
DDD,1,0,0,0,40.0,0,120,65.0,1,1,35.5,2.0,2.0,0.2857142857142857,35.5,0.0,-1.0,558.0,48.0,11.62,0.0,14.0,69.0,1.0,7
BBB,0,0,0,1,60.0,0,120,38.0,1,1,59.166666666666664,6.0,0.0,0.5,51.666666666666664,66.66666666666667,2.3333333333333335,156.0,11.0,14.18,42.0,34.0,8.0,1.0,12
DDD,1,0,0,2,40.0,0,60,77.0,1,1,60.416666666666664,12.0,0.0,0.8571428571428571,56.4,67.16666666666667,0.5833333333333334,428.0,39.0,10.97,0.0,79.0,32.0,1.0,14
BBB,1,0,1,2,30.0,0,60,30.0,0,1,83.25,8.0,0.0,0.6666666666666666,81.2,86.66666666666667,5.75,546.0,47.0,11.62,50.0,103.0,77.0,1.0,12
